Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
1,1.07E+06,1.72E+06,2.79E+06,0
2,9.86E+05,1.34E+06,2.33E+06,0
3,1.42E+06,1.26E+06,2.68E+06,0
4,8.16E+05,1.07E+06,1.89E+06,0
5,2.09E+06,2.36E+06,4.45E+06,1
6,1.01E+06,1.38E+06,2.39E+06,0
7,1.15E+06,2.31E+06,3.45E+06,0
8,1.20E+06,2.68E+06,3.88E+06,0
9,1.76E+06,2.33E+06,4.08E+06,1
10,8.78E+05,1.10E+06,1.98E+06,0
11,9.75E+05,9.90E+05,1.97E+06,0
12,1.26E+06,2.71E+06,3.97E+06,0
13,1.36E+06,9.07E+05,2.27E+06,0
14,1.15E+06,2.43E+06,3.59E+06,1
15,1.10E+06,1.76E+06,2.85E+06,0
16,1.10E+06,2.48E+06,3.58E+06,0
17,1.61E+06,2.24E+06,3.85E+06,0
18,1.14E+06,2.45E+06,3.60E+06,1
19,1.34E+06,2.68E+06,4.01E+06,1
20,9.32E+05,1.30E+06,2.23E+06,0
21,1.32E+06,1.25E+06,2.57E+06,0
22,1.05E+06,1.73E+06,2.78E+06,0
23,1.07E+06,1.79E+06,2.86E+06,0
24,8.76E+05,1.08E+06,1.96E+06,1
25,1.40E+06,2.32E+06,3.72E+06,0
26,1.24E+06,2.64E+06,3.89E+06,0
27,8.00E+05,9.31E+05,1.73E+06,1
28,1.04E+06,1.67E+06,2.71E+06,0
29,1.04E+06,7.99E+05,1.84E+06,1
30,1.13E+06,2.41E+06,3.54E+06,0
31,7.09E+05,1.18E+06,1.89E+06,0
32,1.26E+06,2.93E+06,4.20E+06,0
33,9.55E+05,2.34E+06,3.29E+06,0
34,9.10E+05,1.16E+06,2.07E+06,1
35,1.16E+06,2.37E+06,3.54E+06,0
36,8.20E+05,9.34E+05,1.75E+06,0
37,8.59E+05,1.77E+06,2.63E+06,0
38,9.68E+05,1.42E+06,2.39E+06,0
39,6.80E+05,2.00E+06,2.68E+06,1
40,9.83E+05,1.44E+06,2.43E+06,0
41,7.98E+05,9.54E+05,1.75E+06,1
42,9.79E+05,1.38E+06,2.36E+06,0
43,7.78E+05,1.43E+06,2.21E+06,0
44,7.17E+05,7.58E+05,1.47E+06,1
45,1.50E+06,1.33E+06,2.83E+06,0
46,8.92E+05,1.17E+06,2.06E+06,0
47,1.06E+06,1.53E+06,2.59E+06,0
48,1.18E+06,2.09E+06,3.27E+06,0
49,5.88E+05,2.01E+06,2.60E+06,1
50,1.10E+06,1.97E+06,3.06E+06,0
51,8.49E+05,2.07E+06,2.92E+06,0
52,7.53E+05,8.02E+05,1.56E+06,1
53,1.07E+06,1.79E+06,2.86E+06,0
54,1.09E+06,2.09E+06,3.18E+06,0
55,1.18E+06,2.60E+06,3.78E+06,0
56,1.04E+06,1.68E+06,2.72E+06,0
57,1.87E+06,2.19E+06,4.06E+06,0
58,1.07E+06,1.69E+06,2.76E+06,0
59,1.07E+06,1.84E+06,2.91E+06,0
60,1.18E+06,2.62E+06,3.80E+06,0
61,1.18E+06,1.88E+06,3.06E+06,0
62,1.18E+06,2.55E+06,3.72E+06,0
63,1.66E+06,2.34E+06,3.99E+06,0
64,3.89E+05,5.02E+05,8.91E+05,1
65,1.40E+06,2.38E+06,3.79E+06,0
66,1.25E+06,2.59E+06,3.84E+06,0
67,1.15E+06,2.26E+06,3.41E+06,0
68,1.14E+06,2.43E+06,3.57E+06,0
69,1.42E+06,2.33E+06,3.75E+06,0
70,1.09E+06,2.21E+06,3.31E+06,0
71,6.43E+05,2.19E+06,2.83E+06,0
72,1.06E+06,2.22E+06,3.28E+06,0
73,1.20E+06,2.35E+06,3.55E+06,0
74,9.64E+05,2.02E+06,2.98E+06,0
75,1.13E+06,1.97E+06,3.10E+06,0
76,1.12E+06,2.29E+06,3.42E+06,0
77,1.20E+06,2.61E+06,3.81E+06,0
78,1.15E+06,2.44E+06,3.59E+06,0
79,1.15E+06,2.43E+06,3.58E+06,1
80,1.14E+06,2.42E+06,3.57E+06,0
81,9.90E+05,2.20E+06,3.19E+06,0
82,1.18E+06,2.43E+06,3.61E+06,0
83,1.30E+06,2.54E+06,3.84E+06,0
84,1.14E+06,2.35E+06,3.49E+06,0
85,1.59E+06,2.46E+06,4.04E+06,0
86,1.03E+06,2.29E+06,3.32E+06,0
87,1.21E+06,2.26E+06,3.47E+06,0
88,9.70E+05,2.09E+06,3.06E+06,0
89,1.09E+06,2.21E+06,3.29E+06,0
90,1.11E+06,2.35E+06,3.46E+06,0
91,6.31E+05,1.97E+06,2.60E+06,1
92,1.65E+06,2.17E+06,3.83E+06,0
93,1.10E+06,2.27E+06,3.36E+06,0
94,1.19E+06,2.57E+06,3.76E+06,0
95,9.96E+05,9.59E+05,1.95E+06,1
96,1.28E+06,1.64E+06,2.92E+06,0
97,1.44E+06,2.45E+06,3.89E+06,1
98,9.44E+05,1.23E+06,2.18E+06,0
99,8.88E+05,1.13E+06,2.01E+06,0
100,1.13E+06,2.43E+06,3.56E+06,0
